"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"","Santa Cruz","안양시","2022-09-15 06:46:48",3920,504,16.79,15.42,38.84,117,113,134,47,105
"","Santa Cruz","수원시","2022-09-15 16:59:06",3851,489,16.72,15.63,39.21,86,115,142,42,118
"","Santa Cruz","안양시","2022-09-19 06:11:38",4115,801,16.82,14.72,36.72,79,119,145,45,111
"","Santa Cruz","수원시","2022-09-19 18:12:24",4143,756,16.86,14.65,35.73,87,108,135,40,100
"","Santa Cruz","안양시","2022-09-22 06:55:06",3699,577,17.01,16.56,36.47,118,"","",48,111
"","Santa Cruz","수원시","2022-09-22 17:01:57",3929,384,16.73,15.33,41.58,105,98,127,42,117
"",Wilier,"수원시","2022-09-26 17:07:35",3763,574,17.21,16.47,37.0,79,115,152,40,105
"","Santa Cruz","안양시","2022-09-29 06:59:01",3713,510,16.67,16.16,33.86,103,119,150,47,98
"",Wilier,"안양시","2022-10-06 06:45:19",3505,787,17.5,17.98,37.39,123,123,154,47,106
"",Wilier,"수원시","2022-10-06 17:08:21",3711,402,17.2,16.69,39.89,102,121,149,46,104
"","Santa Cruz","안양시","2022-10-08 14:37:42",7003,4446,33.81,17.38,52.03,24,"","",41,146
"","Santa Cruz","안양시","2022-10-11 06:36:35",3965,899,16.83,15.28,31.12,121,"","",47,109
"","Santa Cruz","수원시","2022-10-11 18:38:13",3747,600,16.73,16.07,42.79,103,"","",43,103
"","Santa Cruz","안양시","2022-10-13 06:44:51",3842,770,16.8,15.74,33.24,98,"","",42,112
"","Santa Cruz","수원시","2022-10-13 16:57:19",4013,580,16.57,14.86,41.08,100,"","",40,111
"","Santa Cruz","안양시","2022-10-27 06:34:00",3835,686,17.07,16.02,37.59,105,"","",48,132
"","Santa Cruz","수원시","2022-10-27 16:38:41",4155,964,16.9,14.64,40.08,93,"","",44,123
"","Santa Cruz","안양시","2022-10-28 06:15:15",4001,668,16.81,15.12,38.22,115,110,144,53,121
"","Santa Cruz","수원시","2022-10-28 16:26:29",4256,598,16.68,14.11,37.84,91,111,134,44,109
"","Santa Cruz","안양시","2022-10-31 06:39:04",4186,782,17.07,14.68,34.98,105,101,140,46,115
"","Santa Cruz","수원시","2022-10-31 17:37:36",4293,662,16.79,14.08,37.22,88,104,133,40,115
"","Santa Cruz","안양시","2022-11-03 06:40:10",3921,741,17.1,15.7,32.86,112,119,147,50,106
"","Santa Cruz","수원시","2022-11-03 16:47:02",4202,392,16.71,14.32,37.1,104,112,140,42,100
"","Santa Cruz","안양시","2022-11-08 06:43:13",3993,861,16.88,15.22,38.84,102,115,144,47,109
"","Santa Cruz","안양시","2022-11-11 06:08:05",3885,599,16.75,15.53,31.12,113,109,145,47,104
"","Santa Cruz","수원시","2022-11-11 16:35:29",3948,1029,16.86,15.37,38.34,90,108,134,40,111
"","Santa Cruz","안양시","2022-11-14 06:46:27",4177,672,16.89,14.56,33.98,115,113,135,46,100
"","Santa Cruz","수원시","2022-11-14 17:31:30",4039,618,16.8,14.97,37.34,84,118,142,43,120
"","Santa Cruz","안양시","2022-11-17 06:35:33",3966,498,17.05,15.48,37.22,104,120,144,47,117
"","Santa Cruz","수원시","2022-11-17 17:04:19",4025,823,16.7,14.93,35.98,79,110,141,40,119
"",Roller,"수원시","2023-01-03 14:06:21",167,70,0.93,19.99,22.28,0,"","",53,62
"","Santa Cruz","수원시","2023-01-03 14:13:34",185,39,0.98,19.21,23.53,0,"","",48,64
"","","수원시","2023-01-03 14:13:48",110,156,0.56,18.21,33.84,0,114,124,"",""
"",Roller,"수원시","2023-01-03 14:26:33",1213,0,6.83,20.25,31.0,0,"","",62,97
"",Roller,"수원시","2023-01-06 12:59:18",2119,14,10.12,17.19,21.1,0,122,131,54,75
"","Santa Cruz","안양시","2023-01-09 06:31:35",4482,736,17.31,13.91,31.48,103,115,145,39,112
"","","","2023-01-09 06:31:35",4482,736,17.31,13.91,29.61,92,113,145,"",""
"","Santa Cruz","수원시","2023-01-09 17:07:48",4811,1219,16.53,12.37,29.92,76,96,139,36,106
"","Santa Cruz","안양시","2023-01-12 06:31:35",4348,684,16.56,13.71,28.46,105,90,139,46,104
"","Santa Cruz","수원시","2023-01-12 17:01:30",4518,647,16.34,13.02,33.34,102,112,144,38,126
"",Wilier,"안양시","2023-02-02 06:20:16",4396,588,17.46,14.3,31.34,161,118,152,42,111
"",Wilier,"수원시","2023-02-02 16:50:45",4261,751,17.28,14.6,36.34,101,117,141,37,99
"",Wilier,"안양시","2023-02-04 12:40:41",5719,1466,22.22,13.99,31.6,238,100,143,44,99
"",Wilier,"의왕시","2023-02-06 07:21:30",3265,544,12.68,13.98,31.07,82,95,130,44,123
"",Wilier,"수원시","2023-02-06 16:57:32",4457,630,17.34,14.01,38.18,94,99,133,40,101
"",Wilier,"안양시","2023-02-07 06:39:31",4416,644,17.5,14.27,34.63,122,114,133,47,105
"",Wilier,"수원시","2023-02-07 17:45:36",4565,675,17.39,13.72,37.0,96,107,135,41,98
"",Wilier,"안양시","2023-02-09 06:43:19",4429,615,17.57,14.28,34.36,119,108,141,47,99
"",Wilier,"수원시","2023-02-09 17:09:08",4387,663,17.42,14.29,37.13,90,111,134,40,94
"",Wilier,"안양시","2023-02-11 06:46:01",4435,354,17.37,14.09,30.94,117,116,139,49,117
"",Wilier,"수원시","2023-02-11 11:35:09",4355,848,17.66,14.6,37.13,94,100,132,40,108
"",Wilier,"안양시","2023-02-14 06:55:32",4336,844,17.48,14.51,37.13,119,81,124,46,111
"",Wilier,"수원시","2023-02-14 17:04:06",4617,544,17.32,13.5,36.73,78,102,134,43,143
"","Santa Cruz","안양시","2023-02-27 06:47:49",4232,880,16.64,14.15,29.6,100,113,138,45,99
"",Wilier,"수원시","2023-02-27 17:17:16",4346,650,16.36,13.55,37.13,98,107,132,38,98
"",Nukeproof,"","2023-03-01 09:39:39",316,0,1.1,12.53,19.85,50,95,103,"",""
"","Santa Cruz","서울특별시","2023-03-01 10:21:09",7321,10924,37.19,18.29,36.82,103,106,138,52,112
"","Santa Cruz","안양시","2023-03-02 06:54:18",2941,2173,12.18,14.91,41.06,101,84,118,49,107
"","Santa Cruz","수원시","2023-03-02 17:17:37",4354,1127,16.7,13.81,34.3,89,87,133,45,99
"","Santa Cruz","안양시","2023-03-03 06:33:04",4368,556,16.47,13.57,30.92,109,117,139,49,105
"","Santa Cruz","수원시","2023-03-03 17:11:39",4751,1070,15.64,11.85,34.03,96,84,138,36,104
"","Santa Cruz","안양시","2023-03-06 06:39:29",4452,954,17.06,13.8,34.21,141,107,136,47,101
"","Santa Cruz","수원시","2023-03-06 17:24:54",4270,613,16.2,13.66,36.39,95,108,133,45,128
"","Santa Cruz","안양시","2023-03-07 06:52:07",4199,639,16.41,14.07,31.27,120,119,147,50,105
"","Santa Cruz","수원시","2023-03-07 17:16:14",4150,591,16.41,14.23,35.5,86,111,133,47,117
"","Santa Cruz","안양시","2023-03-09 06:38:57",4171,746,16.53,14.27,33.47,104,117,141,52,109
"","Santa Cruz","수원시","2023-03-09 16:59:50",4287,657,16.28,13.67,35.57,91,106,132,48,126
"","Santa Cruz","안양시","2023-03-14 06:44:05",4040,915,16.54,14.74,35.1,117,116,138,53,111
"","Santa Cruz","수원시","2023-03-14 17:00:40",4320,1041,16.32,13.6,35.25,93,101,131,47,113
"","Santa Cruz","안양시","2023-03-17 06:43:05",4024,632,16.65,14.9,27.85,116,118,143,55,106
"","Santa Cruz","수원시","2023-03-17 17:08:14",4211,566,16.31,13.94,37.47,95,112,137,43,101
"","Santa Cruz","안양시","2023-04-04 06:40:25",4193,675,16.49,14.15,33.38,112,121,146,48,106
"","Santa Cruz","안양시","2023-04-13 06:43:46",4014,608,16.65,14.93,34.87,105,121,150,49,107
"","Santa Cruz","수원시","2023-04-13 17:09:30",4350,671,16.28,13.47,39.77,89,112,136,39,98
"","Santa Cruz","안양시","2023-04-24 06:49:57",4405,1002,17.28,14.12,30.31,141,113,128,48,123
"","Santa Cruz","수원시","2023-04-24 17:14:50",4580,721,16.72,13.14,36.46,105,112,142,41,100
"","Santa Cruz","안양시","2023-04-25 06:44:29",4101,658,16.5,14.49,34.73,112,121,143,52,112
"","Santa Cruz","수원시","2023-04-25 17:38:41",4253,940,16.31,13.81,36.1,104,112,133,45,100
"","Santa Cruz","안양시","2023-04-30 08:34:59",571,257,1.75,11.01,21.61,35,"","",32,97
"","Santa Cruz","안양시","2023-04-30 10:00:57",353,258,1.33,13.55,22.44,0,"","",20,110
"","Santa Cruz","안양시","2023-05-04 06:39:30",4100,787,16.69,14.66,32.83,114,113,135,49,121
"","Santa Cruz","수원시","2023-05-04 17:05:24",4096,535,16.07,14.12,39.04,83,111,132,43,106
"",Wilier,"안양시","2023-05-08 06:48:20",4094,864,16.68,14.67,31.15,109,121,146,"",""
"",Wilier,"수원시","2023-05-08 17:48:56",5009,2397,19.34,13.9,37.13,101,114,144,42,105
"",Wilier,"안양시","2023-05-09 06:47:37",4195,752,16.96,14.55,31.86,113,115,137,48,117
"",Wilier,"수원시","2023-05-09 17:00:24",5738,2807,24.28,15.24,43.45,79,107,132,48,96
"",Wilier,"안양시","2023-05-11 06:52:53",3885,723,16.0,14.83,32.26,97,"","",43,105
"",Wilier,"수원시","2023-05-11 08:40:45",21,0,0.12,19.78,20.61,0,"","","",""
"",Wilier,"수원시","2023-05-11 17:11:50",4022,1007,16.99,15.21,39.76,88,110,133,42,104
"",Wilier,"안양시","2023-05-12 06:40:22",4140,704,16.99,14.78,33.05,105,109,132,45,128
"",Wilier,"수원시","2023-05-12 16:57:43",4645,884,17.18,13.31,40.03,92,104,134,39,112
"",Wilier,"안양시","2023-05-14 08:31:46",357,209,1.41,14.23,18.83,23,117,137,49,102
"",Wilier,"안양시","2023-05-16 06:44:30",3910,670,16.47,15.17,33.85,102,118,139,"",""
"","Santa Cruz","수원시","2023-05-16 15:36:49",4143,1120,16.64,14.46,42.45,94,116,141,41,98
"",Wilier,"안양시","2023-05-18 06:39:45",4035,623,16.97,15.14,35.68,78,118,143,45,101
"",Wilier,"안양시","2023-05-20 09:11:49",5557,1500,22.39,14.5,35.55,215,110,151,47,112
"",Wilier,"안양시","2023-05-22 06:34:53",4153,988,17.11,14.83,36.73,92,113,133,47,105
"",Wilier,"수원시","2023-05-22 17:33:23",4026,644,16.73,14.96,42.4,79,106,128,44,96
"",Wilier,"안양시","2023-05-23 06:43:35",3992,810,17.03,15.36,40.03,93,113,140,47,101
"",Wilier,"수원시","2023-05-23 17:02:52",4051,714,16.91,15.02,43.32,101,105,128,43,99
"",Wilier,"안양시","2023-05-25 06:43:11",3985,698,16.95,15.31,35.02,104,113,139,49,105
"",Wilier,"수원시","2023-05-25 17:21:04",4105,664,16.83,14.76,41.21,95,109,130,46,105
"",Wilier,"안양시","2023-05-30 06:48:36",3904,584,17.0,15.67,42.13,101,123,152,50,106
"",Wilier,"수원시","2023-05-30 17:29:58",3863,862,16.94,15.79,35.42,89,109,136,45,99
"",Wilier,"안양시","2023-05-31 09:13:42",447,1505,1.37,11.07,19.35,49,"","",21,83
"",Wilier,"안양시","2023-06-01 06:41:07",3714,676,16.87,16.36,42.66,112,120,147,48,107
"",Wilier,"수원시","2023-06-01 17:14:32",3729,952,16.74,16.16,45.56,97,111,136,46,104
"",Wilier,"안양시","2023-06-05 06:35:41",3998,718,16.8,15.13,42.4,82,110,132,48,134
"",Wilier,"수원시","2023-06-05 17:39:37",3775,532,16.78,16.0,44.5,88,120,148,45,101
"",Wilier,"안양시","2023-06-06 10:17:51",4720,801,20.74,15.82,38.18,181,110,152,51,130
"",Wilier,"안양시","2023-06-09 06:36:08",3945,752,16.99,15.51,37.66,103,118,147,46,107
"",Wilier,"수원시","2023-06-09 17:03:13",4668,1368,18.32,14.13,38.45,136,114,150,38,95
"",Wilier,"안양시","2023-06-12 06:35:40",3919,804,16.97,15.59,39.24,106,112,133,46,98
"",Wilier,"수원시","2023-06-12 17:34:08",4300,998,16.9,14.15,34.89,97,99,127,41,92
"",Wilier,"안양시","2023-06-13 06:24:24",4022,1018,17.09,15.29,34.23,91,116,132,45,117
"",Wilier,"수원시","2023-06-13 17:18:39",4010,920,16.85,15.13,38.18,89,109,138,46,108
"",Wilier,"안양시","2023-06-15 06:44:49",4001,733,16.99,15.29,42.13,119,116,147,48,111
"",Wilier,"수원시","2023-06-15 17:06:36",4100,753,17.0,14.93,35.68,91,107,131,44,106
"",Wilier,"안양시","2023-06-19 06:38:55",4043,674,16.75,14.91,34.63,104,110,132,48,104
"",Wilier,"수원시","2023-06-19 17:38:25",4237,804,16.73,14.22,35.68,79,112,137,41,100
"",Wilier,"안양시","2023-06-22 07:02:22",4011,406,16.78,15.06,32.52,107,117,139,46,107
"",Wilier,"수원시","2023-06-22 17:04:09",4265,742,16.93,14.29,40.55,97,110,133,43,97
"",Wilier,"안양시","2023-06-23 06:35:01",4154,1035,17.01,14.74,33.97,119,110,129,46,112
"",Wilier,"수원시","2023-06-23 17:04:02",4463,860,17.24,13.91,39.37,107,109,134,38,96
"",Wilier,"안양시","2023-07-03 06:54:49",4171,2134,17.23,14.87,32.26,137,122,148,43,107
"",Wilier,"수원시","2023-07-03 17:33:53",4448,868,16.72,13.53,37.92,85,111,132,40,118
"",Wilier,"안양시","2023-07-06 06:52:26",3963,652,16.78,15.24,35.42,108,115,140,49,107
"",Wilier,"수원시","2023-07-06 17:15:19",4276,1006,16.93,14.25,40.55,82,109,136,39,102
"",Wilier,"안양시","2023-07-20 06:45:21",4051,641,16.91,15.03,34.76,97,111,136,47,119
"",Wilier,"수원시","2023-07-20 17:07:36",4787,958,18.25,13.72,34.5,152,119,147,41,102
"",Wilier,"안양시","2023-07-21 06:46:16",3950,1040,17.19,15.67,37.66,99,106,130,47,121
"",Wilier,"수원시","2023-07-21 17:47:52",4367,1369,17.07,14.07,41.47,89,108,133,41,117
"",Wilier,"안양시","2023-07-25 06:46:14",3935,700,17.17,15.71,32.92,90,115,139,47,111
"",Wilier,"수원시","2023-07-25 17:05:16",4908,1310,18.56,13.61,42.53,140,108,140,39,134
"",Wilier,"안양시","2023-07-29 07:14:42",5467,4248,30.09,19.82,38.71,81,110,146,51,111
"",Wilier,"안양시","2023-07-31 06:42:30",3926,732,17.04,15.62,35.15,114,110,133,45,106
"",Wilier,"수원시","2023-07-31 17:16:08",4027,556,16.97,15.17,38.97,93,109,130,42,99
"",Wilier,"안양시","2023-08-01 06:54:45",3778,674,17.02,16.21,36.73,112,117,137,46,94
"",Wilier,"수원시","2023-08-01 17:16:24",4036,1028,17.08,15.24,37.0,88,111,131,43,135
"",Wilier,"안양시","2023-08-04 06:38:50",3807,750,17.2,16.26,34.23,79,112,136,44,106
"",Wilier,"수원시","2023-08-04 17:36:55",4227,744,17.1,14.57,35.15,94,101,127,42,96
"",Wilier,"안양시","2023-08-17 06:55:39",3812,786,17.29,16.32,34.36,107,117,147,47,95
"",Wilier,"수원시","2023-08-17 17:15:00",4182,820,17.13,14.74,38.18,88,106,131,42,99
"",Wilier,"안양시","2023-08-18 06:57:35",3983,718,17.23,15.58,33.18,91,115,140,48,102
"",Wilier,"수원시","2023-08-18 17:22:22",4279,767,16.91,14.22,37.39,80,108,134,43,110
"",Wilier,"안양시","2023-09-01 06:39:48",3921,755,17.32,15.91,35.02,92,120,146,44,140
"",Wilier,"수원시","2023-09-01 17:12:46",4358,926,17.03,14.07,32.65,92,103,125,41,132
"",Wilier,"안양시","2023-09-04 06:52:16",4573,1804,17.77,13.99,31.2,128,110,137,36,137
"",Wilier,"수원시","2023-09-04 20:03:41",4208,624,17.02,14.56,36.08,85,114,128,41,101
"",Wilier,"안양시","2023-09-08 06:48:16",4131,760,17.04,14.85,35.02,96,116,144,44,111
"",Wilier,"수원시","2023-09-08 17:57:46",4165,688,16.97,14.67,41.61,92,109,138,42,96
"",Wilier,"안양시","2023-09-11 06:52:50",4123,884,17.25,15.06,34.23,79,108,134,42,111
"",Wilier,"수원시","2023-09-11 17:28:13",4207,628,16.93,14.49,37.0,68,100,129,39,130
"",Wilier,"안양시","2023-09-18 06:31:42",3978,988,17.39,15.74,35.29,103,114,135,44,123
"",Wilier,"수원시","2023-09-18 17:14:59",4079,745,16.89,14.91,40.03,97,109,135,42,106
"",Wilier,"안양시","2023-09-21 06:51:19",3967,730,17.1,15.52,35.29,99,125,152,45,99
"",Wilier,"안양시","2023-09-25 06:43:39",3869,711,17.05,15.86,34.63,94,115,139,47,106
"",Wilier,"수원시","2023-09-25 18:02:07",4043,537,16.45,14.65,40.03,82,108,136,38,102
"",Wilier,"서울특별시","2023-09-30 09:44:23",7463,9258,34.12,16.46,34.5,60,105,130,35,99
"",Wilier,"안양시","2023-10-10 06:55:18",3890,1136,17.41,16.11,33.84,111,"","","",""
"",Wilier,"수원시","2023-10-10 17:15:03",4192,962,17.13,14.71,36.73,85,106,132,"",""
"",Wilier,"안양시","2023-10-16 06:34:34",3925,1085,17.19,15.77,34.1,112,115,152,"",""
"",Wilier,"수원시","2023-10-16 18:19:34",4123,1019,16.98,14.82,35.29,96,97,116,"",""
"",Wilier,"안양시","2023-10-24 06:56:13",3860,743,17.04,15.89,33.05,106,116,142,"",""
"",Wilier,"수원시","2023-10-24 17:25:18",4125,755,16.91,14.76,42.0,89,107,138,"",""
"",Wilier,"안양시","2023-10-30 06:38:20",3995,956,17.03,15.35,34.36,122,114,143,"",""
"",Wilier,"수원시","2023-10-30 17:24:22",4159,938,16.99,14.71,35.42,93,102,142,39,113
"",Wilier,"안양시","2023-10-31 06:45:10",3823,870,17.11,16.11,36.6,104,110,137,46,107
"",Wilier,"수원시","2023-10-31 17:09:38",3909,764,16.9,15.57,41.47,92,104,135,42,103
"",Roller,"수원시","2024-01-30 15:02:13",3304,520,14.59,15.9,24.9,0,128,141,64,99
"",Roller,"수원시","2024-02-01 07:54:23",1803,28,8.21,16.39,19.54,0,119,129,66,78
"",Ghost,"안양시","2024-02-04 13:41:09",5335,1866,22.92,15.46,34.71,242,113,156,41,111
"",Wilier,"안양시","2024-02-10 15:46:12",5188,1024,20.03,13.9,29.75,193,108,158,46,97
"",Wilier,"안양시","2024-02-17 12:04:28",4535,966,17.82,14.15,33.84,110,118,146,43,94
"",Wilier,"안양시","2024-03-11 06:29:22",4365,956,16.76,13.82,27.99,129,118,143,42,111
"",Wilier,"수원시","2024-03-11 17:23:46",4570,1253,16.9,13.31,42.15,106,104,127,39,110
"",Wilier,"안양시","2024-03-14 06:30:04",4431,705,16.86,13.7,29.03,124,117,142,46,118
"","Santa Cruz","수원시","2024-03-14 17:19:40",4406,1478,16.79,13.72,35.81,99,112,135,39,103
"","Santa Cruz","안양시","2024-03-17 07:01:44",4011,330,16.28,14.61,31.25,108,104,105,46,110
"","Santa Cruz","수원시","2024-03-17 17:21:42",4425,820,16.8,13.67,31.99,92,111,134,42,100
"","Santa Cruz","안양시","2024-03-25 06:39:47",4253,830,16.74,14.17,29.5,109,118,141,46,113
"","Santa Cruz","수원시","2024-03-26 17:05:14",4291,832,16.61,13.94,34.23,99,"","",38,106
"","Santa Cruz","안양시","2024-04-01 06:38:46",4205,722,16.64,14.24,30.75,94,115,135,43,105
"","Santa Cruz","수원시","2024-04-01 16:54:27",4275,840,16.67,14.04,38.59,106,114,139,38,100
"","Santa Cruz","안양시","2024-04-02 06:48:20",4373,933,16.76,13.8,30.12,109,111,133,46,120
"","Santa Cruz","수원시","2024-04-02 17:11:15",4603,1890,16.82,13.15,35.48,84,108,133,35,87
"","Santa Cruz","안양시","2024-04-04 06:38:33",4081,858,16.7,14.74,32.24,95,117,137,46,107
"","Santa Cruz","수원시","2024-04-04 17:06:01",4575,936,16.75,13.18,36.6,123,109,137,38,140
"","Santa Cruz","안양시","2024-04-05 06:27:32",4415,848,16.83,13.72,30.62,110,105,134,49,106
"","Santa Cruz","수원시","2024-04-05 17:06:09",4489,1024,16.71,13.4,34.61,92,106,136,42,112
"","Santa Cruz","안양시","2024-04-08 06:40:19",4071,754,16.98,15.01,31.37,113,113,138,46,125
"","Santa Cruz","수원시","2024-04-08 16:59:30",4815,763,17.47,13.06,38.34,101,103,133,37,108
"","Santa Cruz","안양시","2024-04-12 06:38:14",4275,707,16.81,14.16,31.87,90,112,140,45,110
"","Santa Cruz","수원시","2024-04-12 17:09:28",4501,806,16.63,13.3,33.49,93,101,131,40,101
"","Santa Cruz","안양시","2024-04-13 08:41:33",1110,2757,5.12,16.6,24.65,0,96,115,32,91
"","Santa Cruz","서울특별시","2024-04-13 09:52:26",6769,3807,30.8,16.38,30.87,62,101,129,46,107
"","Santa Cruz","안양시","2024-04-22 06:30:54",4063,960,16.98,15.04,32.37,91,112,131,46,108
"","Santa Cruz","수원시","2024-04-22 17:12:26",4237,746,16.74,14.23,37.84,91,107,136,38,98
"","Santa Cruz","안양시","2024-04-23 06:39:31",4393,706,16.86,13.82,32.61,118,112,139,45,106
"","Santa Cruz","수원시","2024-04-23 17:26:26",4431,676,16.43,13.35,39.59,81,108,132,38,112
"","Santa Cruz","안양시","2024-04-26 06:45:23",4143,749,16.74,14.55,32.99,104,114,137,46,123
"","Santa Cruz","수원시","2024-04-26 17:07:43",4255,855,16.4,13.88,39.83,93,107,138,38,96
"","Santa Cruz","안양시","2024-04-28 13:13:04",617,1081,6.76,39.45,78.42,60,86,101,15,85
"","Santa Cruz","군포시","2024-04-28 13:44:28",5999,6106,20.94,12.56,70.45,284,120,156,42,109
"","Santa Cruz","안양시","2024-04-30 06:35:02",4126,860,16.61,14.49,32.99,108,107,132,46,117
"",Wilier,"수원시","2024-05-02 17:25:46",4497,1112,17.41,13.94,39.24,91,101,127,39,98
"","Santa Cruz","안양시","2024-05-03 06:32:27",3961,825,16.71,15.19,33.49,104,113,142,46,125
"","Santa Cruz","수원시","2024-05-03 17:19:47",4449,727,16.5,13.35,39.46,81,103,130,37,118
"","Santa Cruz","안양시","2024-05-10 06:39:11",4206,1068,16.94,14.5,31.12,107,109,135,44,117
"","Santa Cruz","수원시","2024-05-10 16:57:51",4543,1624,16.45,13.04,37.97,83,104,131,34,118
"","Santa Cruz","안양시","2024-05-12 07:39:58",5091,450,20.57,14.54,31.62,189,118,158,46,96
"","Santa Cruz","안양시","2024-05-13 06:24:39",4018,699,16.7,14.96,32.99,112,115,142,48,113
"","Santa Cruz","수원시","2024-05-13 17:17:11",4177,836,16.38,14.12,33.86,95,114,142,38,105
"","","","2024-05-13 17:17:11",4177,836,16.38,14.12,31.98,91,113,142,"",""
"","Santa Cruz","안양시","2024-05-18 08:50:14",3615,443,16.0,15.93,27.26,50,96,116,46,114
"","Santa Cruz","안양시","2024-05-27 06:26:13",3997,596,16.7,15.04,31.12,105,107,132,43,109
"","Santa Cruz","수원시","2024-05-27 17:39:18",4309,1150,16.76,14.0,36.35,91,98,129,39,93
"","Santa Cruz","안양시","2024-05-28 06:24:31",4183,1587,16.99,14.62,32.74,135,105,132,46,125
"","Santa Cruz","수원시","2024-05-28 17:20:05",4315,1325,16.77,13.99,42.08,87,89,109,38,102
"","Santa Cruz","안양시","2024-05-31 06:27:42",3975,876,16.88,15.29,32.74,98,111,137,45,102
"","Santa Cruz","수원시","2024-05-31 16:47:37",4597,1636,17.62,13.8,48.91,81,105,136,38,93
"","Santa Cruz","안양시","2024-06-03 06:40:55",4163,614,16.93,14.64,30.37,99,115,139,47,109
"","Santa Cruz","수원시","2024-06-03 17:08:09",4271,1132,16.74,14.11,39.59,85,106,132,38,102
"","Santa Cruz","안양시","2024-06-04 06:39:07",4005,902,16.77,15.08,32.37,91,108,129,47,101
"","Santa Cruz","수원시","2024-06-04 17:04:28",4260,1192,16.69,14.1,36.85,99,102,130,41,105
"","Santa Cruz","안양시","2024-06-10 06:25:05",4031,636,16.84,15.04,30.87,79,108,139,48,96
"","Santa Cruz","수원시","2024-06-10 16:50:41",4167,1310,16.63,14.36,39.83,76,106,133,39,105
"","Santa Cruz","안양시","2024-06-13 06:36:24",3985,707,16.72,15.11,31.25,111,117,142,46,104
"","Santa Cruz","수원시","2024-06-13 16:59:54",4282,976,16.79,14.12,37.22,89,114,133,42,101
"","Santa Cruz","안양시","2024-06-24 06:40:00",4073,769,17.0,15.03,32.61,86,116,143,9,93
"",Wilier,"수원시","2024-06-24 17:04:56",4224,1039,16.57,14.12,64.91,101,114,137,41,126
"",Wilier,"안양시","2024-06-25 06:28:00",3943,1064,16.71,15.25,60.14,88,111,133,47,132
"","Santa Cruz","수원시","2024-06-25 17:00:21",4295,1132,16.74,14.03,35.48,83,107,131,"",""
"",Wilier,"수원시","2024-06-27 17:00:51",4063,1022,15.71,13.92,51.53,120,122,142,37,126
"","Santa Cruz","안양시","2024-06-28 06:31:22",3896,740,16.61,15.35,33.49,92,116,142,"",""
"","Santa Cruz","수원시","2024-06-28 17:01:10",4464,876,16.59,13.38,37.84,82,102,128,"",""
"","Santa Cruz","안양시","2024-07-01 06:32:42",3916,618,16.56,15.22,32.24,79,110,139,"",""
"",Wilier,"안양시","2024-07-27 08:48:30",5316,1615,20.92,14.17,50.96,170,117,160,45,107
"","Santa Cruz","안양시","2024-07-29 06:37:36",4131,854,16.75,14.6,69.27,92,114,139,43,121
"","Santa Cruz","수원시","2024-07-29 16:51:06",4353,1127,16.54,13.68,37.72,92,105,128,36,89
"","Santa Cruz","안양시","2024-08-05 06:48:55",3885,433,16.36,15.16,32.86,80,116,140,44,94
"","Santa Cruz","수원시","2024-08-05 17:06:56",4212,1102,16.64,14.22,42.32,103,108,133,39,105
"","Santa Cruz","안양시","2024-08-06 06:44:32",3483,1504,16.83,17.39,33.61,92,110,130,42,90
"",Wilier,"수원시","2024-08-06 17:09:23",4317,1328,17.62,14.69,39.89,82,106,129,38,92
"","Santa Cruz","안양시","2024-08-12 06:30:12",4127,580,16.69,14.56,31.0,94,110,129,39,88
"","Santa Cruz","수원시","2024-08-12 16:54:54",4276,804,16.87,14.2,40.95,87,112,131,41,94
"","Santa Cruz","안양시","2024-08-13 06:43:42",4179,688,17.12,14.75,33.36,104,113,135,41,93
"","Santa Cruz","수원시","2024-08-13 17:01:29",4408,1072,16.98,13.87,39.46,90,106,127,37,92
"","Santa Cruz","안양시","2024-08-19 06:32:44",4041,700,16.65,14.84,32.86,88,109,135,41,97
"","Santa Cruz","수원시","2024-08-19 18:34:59",4351,650,16.56,13.7,38.47,82,111,133,37,102
"","Santa Cruz","안양시","2024-08-26 06:43:28",3851,750,16.88,15.78,34.23,103,113,137,45,96
"","Santa Cruz","수원시","2024-08-26 16:51:52",4255,1544,16.73,14.15,33.73,90,104,130,36,95
"","Santa Cruz","안양시","2024-08-29 06:36:55",3681,995,15.77,15.42,32.49,90,115,136,43,99
"","Santa Cruz","수원시","2024-08-29 17:19:10",4055,1314,16.05,14.25,34.11,81,107,131,38,94
"","Santa Cruz","안양시","2024-08-30 06:43:46",4052,764,15.92,14.14,32.6,79,112,133,44,105
"","Santa Cruz","수원시","2024-08-30 16:46:43",4361,737,16.37,13.51,41.95,90,106,126,40,90
"","Santa Cruz","안양시","2024-09-03 06:46:47",3891,563,16.39,15.16,41.12,79,114,136,46,99
"","Santa Cruz","수원시","2024-09-03 17:04:28",4142,345,16.31,14.18,39.79,78,108,127,41,108
"","Santa Cruz","안양시","2024-09-05 06:44:11",3960,637,16.51,15.01,34.91,101,115,141,47,98
"","Santa Cruz","수원시","2024-09-09 16:51:00",4233,1255,16.36,13.91,37.85,88,101,129,40,100
"","Santa Cruz","안양시","2024-09-10 06:40:52",4146,833,16.56,14.38,34.27,90,108,132,46,100
